Date,Indian rupee (INR) per gram
01-01-1979,0
02-01-1979,57.64146599
03-01-1979,57.94046793
04-01-1979,58.24879359
05-01-1979,59.27215185
08-01-1979,59.20013418
09-01-1979,58.59537864
10-01-1979,57.98387144
11-01-1979,58.3397802
12-01-1979,57.31256385
15-01-1979,57.29295189
16-01-1979,57.75945923
17-01-1979,59.22360422
18-01-1979,59.85633092
19-01-1979,62.3965614
22-01-1979,60.66427918
23-01-1979,60.93756052
24-01-1979,61.92490995
25-01-1979,62.30139519
26-01-1979,62.02714932
29-01-1979,60.66685124
30-01-1979,61.77991008
31-01-1979,59.1837373
01-02-1979,61.95898974
02-02-1979,61.32336948
05-02-1979,63.39644962
06-02-1979,64.19796773
07-02-1979,65.29688025
08-02-1979,66.90698964
09-02-1979,64.32946429
12-02-1979,65.79232326
13-02-1979,64.32078359
14-02-1979,62.58689382
15-02-1979,64.56834433
16-02-1979,64.8380891
19-02-1979,65.82511702
20-02-1979,65.34285582
21-02-1979,65.56083788
22-02-1979,65.99487296
23-02-1979,65.65053846
26-02-1979,65.41005088
27-02-1979,64.7088431
28-02-1979,64.67701386
01-03-1979,65.06860995
02-03-1979,64.95994043
05-03-1979,63.40287977
06-03-1979,62.41199376
07-03-1979,62.82159427
08-03-1979,61.72236025
09-03-1979,62.30975439
12-03-1979,62.36248161
13-03-1979,63.12477581
14-03-1979,63.33407717
15-03-1979,63.33889978
16-03-1979,63.43085092
19-03-1979,64.84612678
20-03-1979,64.02981933
21-03-1979,63.584853
22-03-1979,64.23654863
23-03-1979,63.8992873
26-03-1979,63.97741361
27-03-1979,64.50114927
28-03-1979,63.94494136
29-03-1979,63.20901077
30-03-1979,62.37759246
02-04-1979,62.63254788
03-04-1979,62.45571878
04-04-1979,62.39945497
05-04-1979,62.35540845
06-04-1979,61.81624043
09-04-1979,62.93797998
10-04-1979,62.57564106
11-04-1979,62.89393345
12-04-1979,61.65066408
13-04-1979,61.65066408
16-04-1979,61.65066408
17-04-1979,61.00604161
18-04-1979,62.10045303
19-04-1979,63.66844494
20-04-1979,63.19518595
23-04-1979,62.81966523
24-04-1979,63.72631628
25-04-1979,64.96797811
26-04-1979,65.10847688
27-04-1979,64.83519553
30-04-1979,64.72266792
01-05-1979,65.73895302
02-05-1979,65.4627781
03-05-1979,64.93004023
04-05-1979,65.41197992
07-05-1979,65.41197992
08-05-1979,66.4231209
09-05-1979,65.57369818
10-05-1979,67.40821978
11-05-1979,67.62266526
14-05-1979,67.19441731
15-05-1979,66.44401889
16-05-1979,67.21724434
17-05-1979,67.74901769
